_cluster_id,n_members,n_merged,n_kept,top_actions
-1,298,37,261,kept_noise_global:298
0,3,2,1,merged:2;kept:1
1,2,2,0,merged:2
2,5,5,0,kept:3;merged:2
3,2,1,1,kept:2
4,2,0,2,kept:2
5,2,0,2,kept:2
6,2,2,0,merged:2
7,2,2,0,merged:2
8,2,0,2,kept:2
9,2,1,1,kept:2
10,2,2,0,kept:2
11,2,2,0,merged:2
12,2,2,0,merged:2
13,2,2,0,merged:2
14,5,4,1,kept:5
15,2,0,2,kept:2
16,2,2,0,merged:2
17,2,2,0,merged:2
18,2,2,0,merged:2
19,4,2,2,kept:4
20,3,3,0,kept:3
21,3,3,0,merged:2;kept:1
22,2,0,2,kept:2
23,4,3,1,kept:2;merged:2
24,3,2,1,merged:2;kept:1
25,2,1,1,kept:2
26,3,1,2,kept:3
27,2,2,0,merged:2
28,2,1,1,kept:2
29,3,1,2,kept:3
30,2,2,0,merged:2
31,3,1,2,kept:2;modified:1
32,2,1,1,kept:2
33,2,2,0,kept:2
34,3,2,1,kept:3
35,3,2,1,merged:2;kept:1
36,3,0,3,kept:3
37,2,1,1,kept:2
38,2,0,2,kept:2
39,2,2,0,merged:2
40,7,5,2,merged:5;kept:2
41,7,4,3,merged:3;kept:3;modified:1
42,3,2,1,kept:3
43,4,2,2,kept:2;merged:2
44,3,2,1,merged:2;kept:1
45,2,0,2,kept:2
46,2,0,2,kept:2
47,3,0,3,kept:3
48,2,0,2,kept:2
49,2,2,0,merged:2
50,2,1,1,kept:2
51,4,2,2,kept:4
52,2,0,2,kept:2
53,2,2,0,merged:2
54,2,2,0,merged:2
55,2,2,0,merged:2
56,2,2,0,merged:2
57,2,2,0,merged:2
58,3,3,0,merged:3
59,2,0,2,kept:2
60,2,1,1,kept:2
61,2,2,0,kept:2
62,3,2,1,merged:2;kept:1
63,2,2,0,merged:2
64,2,0,2,kept:2
65,2,0,2,kept:2
66,2,2,0,kept:2
67,4,1,3,kept:4
68,3,2,1,merged:2;kept:1
69,2,2,0,merged:2
70,2,2,0,merged:2
71,2,0,2,kept:2
72,2,2,0,merged:2
73,3,2,1,merged:2;modified:1
74,3,2,1,merged:2;kept:1
75,2,2,0,merged:2
76,2,0,2,kept:2
77,3,0,3,kept:3
78,3,2,1,merged:2;modified:1
79,2,1,1,kept:2
80,2,1,1,kept:2
81,2,2,0,merged:2
82,2,0,2,kept:2
83,3,0,3,kept:3
84,2,0,2,kept:2
85,3,2,1,merged:2;kept:1
86,2,0,2,kept:2
87,2,2,0,merged:2
88,2,2,0,merged:2
89,3,1,2,kept:3
90,2,0,2,kept:2
91,3,2,1,merged:2;kept:1
92,8,4,4,kept:6;merged:2
93,2,0,2,kept:2
94,7,1,6,kept:7
95,2,0,2,kept:2
96,3,1,2,kept:3
97,6,5,1,merged:4;modified:1;kept:1
98,4,1,3,kept:4
99,2,0,2,kept:2
100,3,0,3,kept:3
101,3,0,3,kept:3
102,2,2,0,merged:2
103,7,4,3,merged:4;kept:3
104,3,3,0,merged:3
105,3,3,0,merged:2;kept:1
106,3,3,0,merged:3
107,2,2,0,merged:2
108,2,2,0,merged:2
109,2,2,0,merged:2
110,3,3,0,merged:3
111,2,2,0,merged:2
112,2,0,2,kept:2
113,2,2,0,merged:2
114,2,2,0,merged:2
115,3,3,0,merged:2;kept:1
116,3,2,1,merged:2;kept:1
117,2,1,1,kept:2
118,3,2,1,merged:2;kept:1
119,2,2,0,merged:2
120,3,3,0,merged:3
121,2,2,0,merged:2
122,3,2,1,merged:2;kept:1
123,4,2,2,merged:2;kept:2
124,2,0,2,kept:2
125,3,3,0,merged:2;kept:1
126,2,0,2,kept:2
127,2,2,0,merged:2
128,2,2,0,merged:2
129,2,2,0,merged:2
130,4,4,0,merged:4
131,3,2,1,merged:2;kept:1
132,2,0,2,kept:2
133,2,2,0,merged:2
134,3,3,0,merged:3
135,2,0,2,kept:2
136,2,2,0,merged:2
137,3,3,0,merged:3
138,5,4,1,merged:4;kept:1
139,4,1,3,kept:3;modified:1
140,3,3,0,merged:3
141,2,2,0,merged:2
142,2,2,0,merged:2
143,2,2,0,merged:2
144,3,3,0,merged:3
145,3,2,1,merged:2;kept:1
146,4,4,0,merged:3;kept:1
147,2,2,0,merged:2
148,2,2,0,merged:2
149,8,7,1,merged:7;kept:1
150,3,0,3,kept:3
151,5,5,0,merged:4;kept:1
152,2,2,0,merged:2
153,2,2,0,merged:2
154,2,2,0,merged:2
155,2,0,2,kept:2
156,2,0,2,kept:2
157,4,3,1,merged:3;kept:1
158,2,2,0,merged:2
159,2,0,2,kept:2
160,2,1,1,kept:2
161,8,4,4,kept:5;merged:3
162,4,0,4,kept:4
163,5,2,3,kept:3;merged:2
164,2,2,0,merged:2
165,2,0,2,kept:2
166,2,2,0,merged:2
167,2,2,0,merged:2
168,4,2,2,kept:2;merged:2
169,2,2,0,merged:2
170,2,2,0,kept:2
171,3,3,0,merged:2;kept:1
172,3,2,1,merged:2;kept:1
173,11,6,5,merged:6;kept:4;modified:1
174,2,2,0,merged:2
175,2,2,0,merged:2
176,2,2,0,merged:2
177,3,3,0,merged:2;kept:1
178,2,2,0,merged:2
179,2,2,0,merged:2
180,4,2,2,kept:4
181,10,7,3,merged:7;kept:3
182,2,2,0,merged:2
183,2,1,1,kept:2
184,3,3,0,merged:3
185,7,1,6,kept:7
186,2,2,0,merged:2
187,8,3,5,kept:4;merged:3;modified:1
188,3,0,3,kept:3
189,2,0,2,kept:2
190,2,2,0,merged:2
191,3,2,1,merged:2;kept:1
192,2,2,0,merged:2
193,3,2,1,merged:2;kept:1
194,2,2,0,merged:2
195,2,2,0,merged:2
196,2,2,0,merged:2
197,4,2,2,merged:2;kept:2
198,2,2,0,merged:2
199,2,2,0,merged:2
200,2,2,0,merged:2
201,2,2,0,merged:2
202,5,2,3,kept:5
203,2,1,1,kept:2
204,2,2,0,merged:2
205,2,2,0,merged:2
206,4,3,1,kept:2;merged:2
207,2,2,0,merged:2
208,4,2,2,merged:2;kept:2
209,3,2,1,merged:2;kept:1
210,2,2,0,merged:2
211,3,3,0,merged:3
212,4,2,2,merged:2;modified:1;kept:1
213,6,3,3,kept:3;merged:3
214,2,2,0,merged:2
215,2,0,2,kept:2
216,2,2,0,merged:2
217,2,2,0,merged:2
218,4,3,1,merged:3;kept:1
219,2,2,0,merged:2
220,2,2,0,merged:2
221,2,2,0,merged:2
222,2,1,1,kept:2
223,2,2,0,merged:2
224,3,0,3,kept:3
225,3,3,0,merged:2;kept:1
226,2,0,2,kept:2
227,3,2,1,merged:2;kept:1
228,2,2,0,merged:2
229,3,3,0,merged:3
230,2,2,0,merged:2
231,3,2,1,merged:2;kept:1
232,3,3,0,merged:3
233,2,2,0,merged:2
234,9,7,2,merged:6;kept:3
235,2,2,0,merged:2
236,9,7,2,merged:7;kept:2
237,4,4,0,merged:4
238,5,5,0,merged:5
239,2,2,0,merged:2
